,Place,CarNum,Team,LAAadjvptiu s te r ameged e,ComLpla petsed,Fu(ltelr)Used,CAOdj2 u(sktge)d,COAA2djvp ee r s t r aL au e d g ep,FuelType,EfFfiacciF uto re n cely,EfSfico r eci e nF u elcy
1,1,91,Mississippi State Univ,170.894,10,2.361,5.453,0.5453,100,0.784,100
2,2,30,Univ of Calif - Berkeley,141.824,10,4.085,6.740,0.6740,E85,0.764,96.1
3,3,77,Vanderbilt Univ,170.877,10,2.451,5.661,0.5661,93,0.755,94.4
4,4,95,Univ of Toledo,175.434,10,2.479,5.726,0.5726,93,0.727,88.9
5,5,113,US Air Force Academy,198.295,10,2.265,5.232,0.5232,93,0.704,84.4
6,6,9,Univ of North Carolina - Charlotte,142.896,10,3.203,7.398,0.7398,100,0.691,81.8
7,7,135,Univ of Wisconsin - Madison,198.650,7,2.413,3.981,0.5687,E85,0.646,73.1
8,8,6,California Polytechnic State Univ-SLO,151.098,10,3.245,7.495,0.7495,93,0.645,72.8
9,9,34,Colorado Mesa University,168.123,10,3.081,7.117,0.7117,93,0.610,66.1
10,10,119,California Baptist University,176.199,10,2.961,6.839,0.6839,100,0.606,65.2
11,11,107,Virginia Tech,199.501,6,1.620,3.742,0.6237,100,0.587,61.5
12,12,29,Univ of Texas - Austin,175.147,5,1.551,3.582,0.7164,93,0.582,60.5
13,13,45,California State Univ - Northridge,162.482,10,3.404,7.863,0.7863,100,0.572,58.5
14,14,145,Instituto Maua de Tecnologia,160.049,10,4.940,8.151,0.8151,E85,0.560,56.2
15,15,65,Hope College,147.881,10,3.931,9.080,0.9080,93,0.544,53.0
16,16,26,Univ of Wisconsin - Platteville,168.472,10,3.478,8.034,0.8034,100,0.540,52.2
17,17,109,Temple Univ,161.573,10,3.634,8.394,0.8394,93,0.538,52.0
18,18,3,The Ohio State University,139.589,10,5.927,9.779,0.9779,E85,0.535,51.3
19,19,57,Oakland University,159.051,10,3.864,8.925,0.8925,93,0.514,47.3
20,20,32,Colorado School of Mines,189.057,10,3.323,7.676,0.7676,93,0.503,45.1
,Place,CarNum,Team,LAAadjvptiu s te r ameged e,ComLpla petsed,Fu(ltelr)Used,CAOdj2 u(sktge)d,COAA2djvp ee r s t r aL au e d g ep,FuelType,EfFfiacciF uto re n cely,EfSfico r eci e nF u elcy
1,21,35,Texas A & M Univ - College Station,145.697,10,4.345,10.036,1.0036,93,0.499,44.3
2,22,105,Univ of Southern California,192.632,7,2.378,5.493,0.7847,93,0.483,41.1
3,23,40,Universite de Sherbrooke,169.310,10,4.302,9.937,0.9034,93,0.477,40.0
4,24,23,Kansas State Univ,157.577,10,6.529,10.772,0.9793,E85,0.473,39.2
5,25,76,Univ of Alabama - Tuscaloosa,161.557,10,4.191,9.681,0.9681,93,0.467,38.0
6,26,101,Minnesota State University - Mankato,169.860,10,3.999,9.237,0.9237,93,0.465,37.7
7,27,14,Univ of Cincinnati,165.928,10,4.103,9.477,0.9477,93,0.464,37.5
8,28,21,Oklahoma State Univ,197.935,10,3.787,8.747,0.7952,93,0.464,37.4
9,29,83,Univ of South Florida,169.939,10,4.022,9.290,0.9290,93,0.463,37.1
10,30,8,Purdue Univ - W Lafayette,156.948,10,4.591,10.605,1.0605,93,0.439,32.5
11,31,126,Arizona State Univ - Tempe,185.675,10,4.014,9.272,0.9272,93,0.424,29.6
12,32,16,Villanova Univ,151.741,10,4.954,11.443,1.1443,100,0.421,28.9
13,33,18,Kennesaw State University,162.112,10,4.692,10.838,1.0838,93,0.416,27.9
14,34,68,AGH Univ of Science and Technology,166.650,10,4.575,10.568,1.0568,100,0.415,27.7
15,35,127,Univ of Connecticut,148.491,10,5.137,11.866,1.1866,93,0.414,27.7
16,36,106,Embry-Riddle Aero Univ - Daytona Beach,194.314,10,4.548,10.505,0.9550,100,0.394,23.6
17,37,67,Univ of Minnesota - Twin Cities,174.206,10,4.645,10.729,1.0729,93,0.391,23.0
18,38,24,Brown Univ,180.426,10,4.512,10.422,1.0422,100,0.388,22.6
19,39,98,Univ of Nebraska - Lincoln,183.506,10,6.385,10.535,1.0535,E85,0.378,20.5
20,40,55,Univ of Missouri,155.133,10,5.965,13.779,1.2526,93,0.376,20.1
,Place,CarNum,Team,LAAadjvptiu s te r ameged e,ComLpla petsed,Fu(ltelr)Used,CAOdj2 u(sktge)d,COAA2djvp ee r s t r aL au e d g ep,FuelType,EfFfiacciF uto re n cely,EfSfico r eci e nF u elcy
1,41,60,Univ of Illinois - Chicago,183.678,10,4.654,10.750,1.0750,93,0.370,19.0
2,42,99,Univ of North Florida,171.660,9,4.524,10.450,1.1611,93,0.366,18.3
3,43,22,Sacramento State Univ,176.123,10,5.356,12.372,1.2372,93,0.335,12.2
4,44,44,Univ of Texas - Dallas,175.074,10,5.606,12.949,1.2949,93,0.322,9.6
5,45,108,Lawrence Technological Univ,188.684,10,7.889,13.016,1.3016,E85,0.297,4.8
6,,114,Lehigh Univ,212.042,10,3.334,5.501,0.5501,E85,,-
7,,125,Northern Arizona Univ,226.447,10,3.287,7.592,0.6902,93,,-
8,,73,Univ of Puerto Rico-Mayaquez,217.049,10,3.074,7.100,0.7100,93,,-
9,,47,Univ of Kentucky,203.452,10,3.715,8.581,0.8581,93,,-
10,,58,Syracuse Univ,206.621,10,4.304,9.942,0.9942,100,,-
11,,72,Univ of Delaware,237.065,10,4.464,10.311,1.0311,93,,-
12,,46,York College of Pennsylvania,220.334,10,4.533,10.471,1.0471,93,,-
13,,131,Univ of Ottawa,210.329,10,4.987,11.519,1.0472,93,,-
14,,104,Washington Univ - St Louis,215.332,10,5.846,13.504,1.3504,100,,-
15,,17,Florida Atlantic Univ,204.326,9,5.465,12.624,1.4027,100,,-
16,,20,Univ of Victoria,194.414,7,4.421,10.212,1.4589,93,,-
17,,42,Univ of Oklahoma,175.488,6,3.908,9.027,1.5045,100,,-
